station_id,station_name,num_departures,num_arrivals
223,Clifton Ave & Armitage Ave,330,360
73,Jefferson St & Monroe St,464,388
432,Clark St & Lunt Ave,149,164
242,Damen Ave & Leland Ave,257,241
458,Broadway & Thorndale Ave,192,198
457,Clark St & Elmdale Ave,88,116
111,Sedgwick St & Huron St,605,563
460,Clark St & Bryn Mawr Ave,208,229
131,Lincoln Ave & Belmont Ave,314,333
227,Southport Ave & Waveland Ave,520,478
425,Harper Ave & 59th St,133,113
319,Greenview Ave & Diversey Pkwy,206,178
5,State St & Harrison St,403,414
517,Clark St & Jarvis Ave,32,37
177,Theater on the Lake,1594,1658
470,Kedzie Ave & Foster Ave,39,38
267,Lake Park Ave & 47th St,85,85
472,Lincoln Ave & Winona St,70,63
604,Sheridan Rd & Noyes St (NU),138,142
216,California Ave & Division St,104,120
316,Damen Ave & Sunnyside Ave,104,112
611,Oak Park Ave & South Blvd,2,2
353,Clark St & Touhy Ave,25,20
245,Clarendon Ave & Junior Ter,225,254
467,Western Ave & Lunt Ave,68,54
208,Ashland Ave & 21st St,40,59
531,Central Ave & Lake St,8,8
102,Stony Island Ave & 67th St,21,14
445,California Ave & 26th St,23,18
200,MLK Jr Dr & 47th St,26,17
411,Halsted St & 47th Pl,7,14
554,Damen Ave & 51st St,1,3
564,Racine Ave & 65th St,2,1
548,Morgan St & Pershing Rd,1,8
638,Clinton St & Jackson Blvd (*),157,151
164,Franklin St & Lake St,857,723
59,Wabash Ave & Roosevelt Rd,997,1099
620,Orleans St & Chestnut St (NEXT Apts),409,403
212,Wells St & Hubbard St,820,872
259,California Ave & Francis Pl,152,167
288,Larrabee St & Armitage Ave,397,334
328,Ellis Ave & 58th St,284,280
311,Leavitt St & Lawrence Ave,132,120
315,Elston Ave & Wabansia Ave,136,134
414,Canal St & Taylor St,383,343
344,Ravenswood Ave & Lawrence Ave,730,699
118,Sedgwick St & North Ave,621,612
3,Shedd Aquarium,1180,961
84,Milwaukee Ave & Grand Ave,712,631
461,Broadway & Ridge Ave,180,225
154,Southport Ave & Belmont Ave,244,263
350,Ashland Ave & Chicago Ave,310,332
277,Ashland Ave & Grand Ave,181,197
383,Ashland Ave & Harrison St,226,224
501,Richmond St & Diversey Ave,104,105
224,Halsted St & Willow St,282,277
294,Broadway & Berwyn Ave,274,302
401,Shields Ave & 28th Pl,57,64
35,Streeter Dr & Grand Ave,3463,3852
469,St. Louis Ave & Balmoral Ave,48,38
130,Damen Ave & Division St,297,348
309,Leavitt St & Armitage Ave,204,149
193,State St & 29th St,30,38
366,Loomis St & Archer Ave,40,38
455,Maplewood Ave & Peterson Ave,17,12
413,Woodlawn Ave & Lake Park Ave,45,44
437,Washtenaw Ave & Ogden Ave (*),49,68
428,Dorchester Ave & 63rd St,26,26
580,Exchange Ave & 79th St,9,24
552,Ashland Ave & McDowell Ave,19,11
396,Yates Blvd & 75th St,5,3
540,Laramie Ave & Madison St,2,1
643,Smith Park (*),5,7
123,California Ave & Milwaukee Ave,492,497
596,Benson Ave & Church St,255,223
100,Orleans St & Merchandise Mart Plaza,1416,1147
51,Clark St & Randolph St,760,832
290,Kedzie Ave & Palmer Ct,192,189
85,Michigan Ave & Oak St,1554,1580
615,Lombard Ave & Madison St,1,1
196,Cityfront Plaza Dr & Pioneer Ct,647,573
439,Kedzie Ave & 21st St,22,16
243,Lincoln Ave & Leavitt St,234,249
124,Damen Ave & Cullerton St,84,93
375,Sacramento Blvd & Franklin Blvd,27,26
17,Honore St & Division St,375,375
500,Central Park Ave & Elbridge Ave,50,77
320,Loomis St & Lexington St,578,559
376,Artesian Ave & Hubbard St,254,176
92,Carpenter St & Huron St,302,235
298,Lincoln Ave & Belle Plaine Ave,200,224
29,Noble St & Milwaukee Ave,382,332
278,Wallace St & 35th St,79,84
171,May St & Cullerton St,106,92
385,Princeton Ave & Garfield Blvd,16,12
2,Buckingham Fountain,460,423
147,Indiana Ave & 26th St,129,114
495,Keystone Ave & Montrose Ave,28,39
422,DuSable Museum,31,20
450,Warren Park West,25,31
436,Fairfield Ave & Roosevelt Rd,24,25
533,Central Park Blvd & 5th Ave,4,5
574,Eberhart (Vernon) Ave & 79th St,3,7
551,Hoyne Ave & 47th St,13,15
630,Kildare Ave & Montrose Ave,3,1
654,Racine Ave & Washington Blvd (*),22,24
310,Damen Ave & Charleston St,221,204
153,Southport Ave & Wellington Ave,552,548
202,Halsted St & 18th St,100,121
39,Wabash Ave & Adams St,560,575
96,Desplaines St & Randolph St,548,509
283,LaSalle St & Jackson Blvd,1376,1311
23,Orleans St & Elm St (*),234,234
26,McClurg Ct & Illinois St,929,924
275,Ashland Ave & 13th St,120,140
55,Halsted St & Roosevelt Rd,229,278
273,Michigan Ave & 18th St,497,493
522,Bosworth Ave & Howard St,37,41
7,Field Blvd & South Water St,496,499
4,Burnham Harbor,586,581
464,Damen Ave & Foster Ave,168,160
575,Cottage Grove Ave & 78th St,9,3
347,Ashland Ave & Grace St,215,210
304,Broadway & Waveland Ave,480,481
188,Greenview Ave & Fullerton Ave,345,391
365,Halsted St & North Branch St,116,109
348,California Ave & 21st St,45,45
378,California Ave & Lake St,32,38
483,Avondale Ave & Irving Park Rd,96,85
468,Budlong Woods Library,33,25
132,Wentworth Ave & 24th St,66,75
405,Wentworth Ave & 35th St,58,72
525,Glenwood Ave & Touhy Ave,39,37
360,DIVVY Map Frame B/C Station,5,16
95,Stony Island Ave & 64th St,11,14
553,Elizabeth St & 47th St,10,7
536,Kostner Ave & Lake St,1,2
392,Perry Ave & 69th St,5,5
568,Normal Ave & 72nd St,2,1
658,Leavitt St & Division St (*),4,15
80,Aberdeen St & Monroe St,498,489
338,Calumet Ave & 18th St,364,437
112,Green St & Randolph St,699,786
497,Kimball Ave & Belmont Ave,73,84
66,Clinton St & Lake St,1143,1221
157,Lake Shore Dr & Wellington Ave,572,583
423,University Ave & 57th St,551,568
341,Adler Planetarium,766,688
478,Rockwell St & Eastwood Ave,96,140
241,Morgan St & Polk St,706,763
119,Ashland Ave & Lake St (Temp),208,183
489,Drake Ave & Addison St,70,70
93,Sheffield Ave & Willow St,447,458
156,Clark St & Wellington Ave,553,590
128,Damen Ave & Chicago Ave,474,562
313,Lakeview Ave & Fullerton Pkwy,691,703
368,Ashland Ave & Archer Ave,24,21
301,Clark St & Schiller St,605,571
459,Lakefront Trail & Bryn Mawr Ave,456,476
222,Milwaukee Ave & Rockwell St,128,158
451,Sheridan Rd & Loyola Ave,190,188
108,Halsted St & Polk St,476,408
293,Broadway & Wilson Ave,278,310
324,Stockton Dr & Wrightwood Ave,477,518
