bikeid,max_tripduration,min_tripduration,average_tripduration
5855,9704.00,62.00,1685.37
5082,7190.00,114.00,896.88
5320,8065.00,113.00,1319.60
2374,7872.00,137.00,1319.21
5554,2498.00,117.00,754.00
5018,3742.00,134.00,1096.00
502,1630.00,170.00,853.94
4508,3551.00,239.00,977.35
3194,10191.00,182.00,1236.88
4006,3185.00,132.00,748.22
832,6656.00,239.00,1092.90
3937,10005.00,110.00,999.20
4353,3594.00,123.00,934.62
2196,6424.00,244.00,1375.95
1104,6289.00,198.00,933.90
5681,3395.00,68.00,894.68
6306,4230.00,143.00,945.85
1198,6207.00,111.00,1038.52
6102,6025.00,124.00,1012.09
4362,7377.00,76.00,993.68
4698,12044.00,167.00,1637.96
4030,3649.00,92.00,1007.82
5770,2002.00,211.00,750.00
2659,4441.00,136.00,1094.31
1612,6611.00,328.00,1774.11
74,5801.00,77.00,1051.12
678,3782.00,107.00,1058.78
299,7691.00,207.00,1274.00
6388,8685.00,77.00,1215.20
5917,1566.00,150.00,631.20
1537,4587.00,187.00,1101.78
1669,4946.00,187.00,1028.17
688,7408.00,185.00,1262.15
1186,9850.00,181.00,1294.52
5827,1772.00,133.00,710.00
1762,9146.00,155.00,1505.68
5522,5221.00,255.00,1097.60
3877,6205.00,165.00,1025.75
2166,8889.00,150.00,1139.02
840,2221.00,120.00,673.81
864,5197.00,260.00,1202.33
5130,625.00,271.00,480.80
561,1259.00,265.00,762.00
2112,3648.00,300.00,1556.18
5253,490363.00,118.00,11645.77
1531,8938.00,111.00,1537.81
2024,3126.00,170.00,887.20
3882,7531.00,218.00,1144.62
2142,6916.00,199.00,1750.25
3439,6584.00,120.00,1201.44
4098,1437.00,120.00,563.63
5730,6944.00,246.00,1363.58
4960,8255.00,78.00,1419.15
2267,7213.00,144.00,969.83
1562,5340.00,192.00,1062.34
4696,6920.00,127.00,1030.08
4661,7526.00,156.00,1005.95
2045,3276.00,243.00,1027.00
1902,3897.00,263.00,989.73
3838,4768.00,148.00,1103.65
5890,4816.00,149.00,971.35
2636,2773.00,61.00,752.26
4430,4973.00,179.00,996.32
145,3117.00,274.00,1001.15
3323,1564.00,128.00,680.87
838,4826.00,173.00,966.66
4974,1861.00,84.00,668.20
189,4845.00,211.00,872.08
1003,4849.00,178.00,1163.17
2577,9590.00,256.00,1768.03
6311,6176.00,124.00,837.44
2243,2396.00,164.00,939.57
4981,2547.00,135.00,1086.67
2696,2214.00,147.00,1059.94
508,3714.00,215.00,1077.18
4449,2785.00,276.00,1008.61
3341,2636.00,177.00,877.84
212,1827.00,114.00,739.96
727,10307.00,108.00,1176.90
3690,7637.00,134.00,1390.17
5382,5052.00,82.00,1012.97
3904,2135.00,170.00,746.04
3414,9030.00,140.00,1342.80
652,3073.00,130.00,1087.13
4887,1601.00,65.00,780.27
5822,5958.00,202.00,1147.40
3468,1634.00,139.00,638.60
5445,4730.00,224.00,1629.62
2244,1902.00,132.00,829.05
3029,2585.00,99.00,789.68
2158,8656.00,143.00,1146.04
1096,3931.00,193.00,1080.86
2093,2844.00,199.00,898.52
1381,9476.00,180.00,1601.15
4418,4251.00,128.00,988.60
4879,7035.00,126.00,1231.74
303,10621.00,79.00,1270.42
2735,1166.00,169.00,784.20
1691,3899.00,195.00,1116.84
4240,13754.00,151.00,1253.00
5252,53496.00,137.00,2638.00
5413,2223.00,187.00,861.56
4844,4548.00,177.00,984.36
3663,3165.00,143.00,787.02
3522,12830.00,61.00,1227.55
4644,6239.00,213.00,1152.90
29,9500.00,125.00,1408.00
586,3547.00,237.00,1181.47
4367,3184.00,145.00,866.18
5952,5201.00,157.00,941.00
5414,6891.00,151.00,1352.81
1231,7609.00,219.00,1428.89
4053,2866.00,191.00,1002.39
2760,1813.00,299.00,785.80
1946,5693.00,274.00,1762.00
3962,3013.00,135.00,941.31
487,9932.00,244.00,1127.26
5776,8962.00,190.00,1319.29
2884,3010.00,158.00,737.90
962,4214.00,496.00,1377.38
177,1397.00,211.00,598.00
1596,2969.00,106.00,862.04
2407,1715.00,488.00,963.66
1768,1426.00,402.00,885.33
5033,2222.00,173.00,701.93
3724,4402.00,199.00,1003.85
1248,4336.00,245.00,1117.96
1623,7665.00,238.00,1692.42
1014,9308.00,84.00,1505.24
2521,3551.00,90.00,760.97
3327,5216.00,83.00,957.58
2484,2365.00,148.00,735.48
6321,620.00,195.00,390.14
1097,5050.00,117.00,1047.54
4109,5709.00,236.00,886.79
3722,49227.00,166.00,1864.78
569,6938.00,78.00,909.73
2787,6847.00,145.00,1185.17
1423,7514.00,239.00,1258.73
146,225.00,225.00,225.00
5367,3242.00,164.00,1027.76
3317,1703.00,252.00,872.58
422,4207.00,95.00,1112.35
6370,2870.00,122.00,846.97
1930,4140.00,166.00,990.19
5378,5692.00,127.00,1339.13
810,9656.00,282.00,1633.33
367,5940.00,152.00,861.29
5898,2115.00,130.00,702.25
13,6822.00,172.00,1294.50
4361,1715.00,218.00,796.20
1166,6180.00,119.00,1154.84
