bikeid,max_tripduration,min_tripduration,average_tripduration
5337,23052.00,181.00,2362.30
4950,7200.00,156.00,1068.82
1776,2119.00,173.00,716.05
4433,5188.00,136.00,1047.28
5361,4499.00,250.00,1252.42
3536,5229.00,131.00,1067.30
2130,6133.00,109.00,1114.24
4665,3992.00,127.00,1058.34
1830,1603.00,241.00,797.62
6160,8855.00,80.00,891.87
6065,6349.00,109.00,956.45
3850,3103.00,145.00,700.66
2868,11824.00,166.00,1082.59
2843,11502.00,220.00,1113.61
5845,5153.00,262.00,1286.21
1965,3521.00,98.00,1105.44
2216,5752.00,231.00,1274.30
3171,7872.00,157.00,937.15
5752,2829.00,157.00,803.53
733,3319.00,125.00,1070.43
1094,3726.00,126.00,795.12
6109,7380.00,111.00,948.95
473,1619.00,125.00,714.76
687,1513.00,152.00,736.28
799,4462.00,104.00,804.84
6365,10821.00,84.00,868.73
6438,60584.00,154.00,4692.14
5974,1477.00,156.00,606.37
1749,6450.00,145.00,851.58
632,2950.00,112.00,827.41
1573,172003.00,138.00,7137.82
3405,1856.00,141.00,619.61
2181,1773.00,182.00,868.63
3082,3017.00,168.00,690.57
4391,8456.00,121.00,1027.69
3892,20254.00,98.00,1607.25
6406,6706.00,151.00,891.00
5390,2003.00,198.00,746.50
2558,5085.00,219.00,1275.41
3019,3179.00,225.00,987.72
6104,6084.00,211.00,1144.48
4308,8431.00,107.00,1215.50
5559,8867.00,82.00,1289.34
6089,3917.00,116.00,729.40
1054,3054.00,217.00,872.10
6088,4748.00,130.00,1083.02
4352,2699.00,189.00,829.84
2280,5286.00,116.00,984.64
3166,4807.00,101.00,992.75
2582,625935.00,179.00,28355.56
3899,3546.00,316.00,1074.44
5521,3465.00,122.00,848.22
6081,6510.00,189.00,975.72
6255,14607.00,144.00,1030.64
4906,2767.00,291.00,756.50
1315,9986.00,173.00,1194.12
2078,5759.00,176.00,998.55
2441,6145.00,104.00,903.80
3715,5683.00,188.00,1145.83
2232,268.00,268.00,268.00
5307,4000.00,239.00,985.09
1422,1926.00,93.00,666.77
704,3441.00,119.00,831.78
1085,6895.00,90.00,1129.97
